Subtotal,Total,PaymentMethod,TransactionDay,TransactionTime,Hour,DayOfWeek
23000,23000,1,2024-11-01,10:23:34,10,4
30000,30000,1,2024-11-01,11:16:04,11,4
15000,15000,1,2024-11-01,11:18:23,11,4
18000,18000,1,2024-11-01,11:19:00,11,4
15000,15000,1,2024-11-01,11:19:36,11,4
15000,15000,0,2024-11-01,11:20:10,11,4
32000,32000,0,2024-11-01,11:21:51,11,4
35000,35000,0,2024-11-01,11:23:15,11,4
15000,15000,1,2024-11-01,11:23:30,11,4
14000,14000,0,2024-11-01,11:24:44,11,4
30000,30000,0,2024-11-01,11:28:20,11,4
20000,20000,0,2024-11-01,11:39:44,11,4
54000,54000,0,2024-11-01,11:52:57,11,4
16000,16000,1,2024-11-01,12:09:22,12,4
31000,31000,1,2024-11-01,12:30:11,12,4
26000,26000,0,2024-11-01,12:33:58,12,4
16000,16000,0,2024-11-01,12:37:59,12,4
42000,42000,0,2024-11-01,12:55:11,12,4
45000,45000,0,2024-11-01,13:59:33,13,4
30000,30000,0,2024-11-01,14:18:09,14,4
15000,15000,1,2024-11-01,14:18:31,14,4
24000,24000,0,2024-11-01,14:21:59,14,4
15000,15000,0,2024-11-01,14:53:01,14,4
42000,42000,0,2024-11-01,14:58:50,14,4
50000,50000,0,2024-11-01,14:59:23,14,4
20000,20000,1,2024-11-01,15:21:12,15,4
15000,15000,1,2024-11-01,15:21:48,15,4
47000,47000,0,2024-11-01,15:25:53,15,4
20000,20000,0,2024-11-01,15:26:56,15,4
15000,15000,0,2024-11-01,15:28:04,15,4
17000,17000,0,2024-11-01,15:28:32,15,4
45000,45000,1,2024-11-01,15:29:20,15,4
30000,30000,0,2024-11-01,15:56:01,15,4
60000,60000,0,2024-11-01,16:51:58,16,4
25000,25000,0,2024-11-01,16:54:14,16,4
7000,7000,1,2024-11-01,16:54:37,16,4
20000,20000,1,2024-11-01,16:55:18,16,4
20000,20000,0,2024-11-01,16:56:16,16,4
44000,44000,0,2024-11-01,16:57:12,16,4
4000,4000,0,2024-11-01,17:38:14,17,4
5000,5000,0,2024-11-01,17:39:40,17,4
46000,46000,0,2024-11-01,18:00:08,18,4
22000,22000,0,2024-11-01,18:01:58,18,4
4000,4000,0,2024-11-01,18:55:32,18,4
15000,15000,0,2024-11-01,18:59:12,18,4
36000,36000,1,2024-11-01,19:18:07,19,4
16000,16000,0,2024-11-01,19:27:03,19,4
30000,30000,1,2024-11-01,19:43:35,19,4
35000,35000,1,2024-11-01,19:49:35,19,4
20000,20000,0,2024-11-01,20:05:43,20,4
27000,27000,0,2024-11-01,20:22:19,20,4
10000,10000,1,2024-11-01,20:46:57,20,4
40000,40000,1,2024-11-03,12:13:12,12,6
30000,30000,0,2024-11-03,12:59:17,12,6
40000,40000,0,2024-11-03,13:53:50,13,6
16000,16000,0,2024-11-03,14:13:34,14,6
19000,19000,0,2024-11-03,14:14:31,14,6
15000,15000,0,2024-11-03,14:34:08,14,6
30000,30000,1,2024-11-03,16:24:20,16,6
20000,20000,1,2024-11-03,16:38:49,16,6
22000,22000,1,2024-11-03,17:04:12,17,6
20000,20000,0,2024-11-03,17:05:22,17,6
36000,36000,0,2024-11-03,17:56:37,17,6
40000,40000,1,2024-11-03,18:00:35,18,6
60000,60000,1,2024-11-04,10:25:02,10,0
20000,20000,0,2024-11-04,10:32:05,10,0
10000,10000,0,2024-11-04,10:46:45,10,0
24000,24000,0,2024-11-04,11:15:06,11,0
29000,29000,0,2024-11-04,11:17:58,11,0
51000,51000,0,2024-11-04,11:19:23,11,0
46000,46000,0,2024-11-04,11:29:10,11,0
15000,15000,1,2024-11-04,11:36:49,11,0
21000,21000,1,2024-11-04,11:38:10,11,0
54000,54000,1,2024-11-04,11:40:40,11,0
41000,41000,1,2024-11-04,11:56:54,11,0
40000,40000,0,2024-11-04,12:04:40,12,0
25000,25000,0,2024-11-04,12:15:27,12,0
65000,65000,0,2024-11-04,12:16:02,12,0
27000,27000,0,2024-11-04,12:16:58,12,0
30000,30000,0,2024-11-04,12:17:36,12,0
47000,47000,0,2024-11-04,12:19:24,12,0
22000,22000,0,2024-11-04,12:20:28,12,0
15000,15000,1,2024-11-04,12:20:41,12,0
21000,21000,0,2024-11-04,12:34:28,12,0
21000,21000,1,2024-11-04,12:34:46,12,0
35000,35000,0,2024-11-04,12:38:27,12,0
